,Unnamed: 0,word,word_onsets,word_offsets,cloze_pre_rep,cloze_post_rep,cloze_MemEffect_rep,boundary,agreement
0,0,i,15.015000076904297,15.31499994506836,,,,,
1,1,began,15.165000010986327,15.49499993774414,,,,,
2,2,my,15.44500001953125,15.70499998901367,0.0,0.22,0.22,,
3,3,illustrious,15.70499998901367,16.324999943847654,0.0,0.14,0.14,,
4,4,career,16.275000025634764,16.894999980468747,0.46,0.62,0.1599999999999999,,
5,5,in,17.144999930419917,17.25499996582031,0.24,0.4,0.16,,
6,6,journalism,17.20500004760742,17.914999998779297,0.02,0.54,0.52,,
7,7,in,18.48500003540039,18.59500007080078,0.06,0.26,0.2,,
8,8,the,18.59500007080078,18.65500000854492,0.34,0.36,0.0199999999999999,,
9,9,bronx,18.65500000854492,19.225000045166013,0.0,0.26,0.26,,
10,10,where,19.225000045166013,19.364999959716798,0.0,0.2,0.2,,
11,11,i,19.364999959716798,19.485000014648435,0.74,0.76,0.02,,
12,12,toiled,19.485000014648435,20.15500006713867,0.0,0.14,0.14,,
13,13,as,20.37499995849609,20.484999993896484,0.04,0.2,0.16,,
14,14,a,20.484999993896484,20.515000052490237,0.68,0.8,0.12,,
15,15,hard,20.515000052490237,20.875000037841797,0.0,0.22,0.22,,
16,16,boiled,20.875000037841797,21.145000026855467,0.02,0.28,0.26,,
17,17,reporter,21.145000026855467,21.995000072021483,0.06,0.46,0.4,,
18,18,for,22.11499994750976,22.235000002441407,0.28,0.54,0.26,,
19,19,the,22.235000002441407,22.324999998779298,0.58,0.82,0.24,,
20,20,ram,22.324999998779298,22.744999921875,0.0,0.3,0.3,,
21,21,the,23.934999913330078,24.044999948730467,0.0,0.26,0.26,,
22,22,student,24.044999948730467,24.66500008300781,0.0,0.34,0.34,,
23,23,newspaper,24.66500008300781,25.275000018310543,0.3,0.64,0.34,,
24,24,at,25.275000018310543,25.385000053710936,0.34,0.46,0.12,,
25,25,fordham,25.385000053710936,25.7049999609375,0.0,0.44,0.44,,
26,26,university,25.7049999609375,26.35499997436523,0.48,0.82,0.3399999999999999,1.0,0.22926829268292684
27,27,and,27.094999984130855,27.205000019531248,0.06,0.24,0.18,,
28,28,one,27.205000019531248,27.34499993408203,0.0,0.18,0.18,,
29,29,day,27.34499993408203,27.49500004760742,0.18,0.5,0.32,,
30,30,im,27.49500004760742,27.60500008300781,0.0,0.16,0.16,,
31,31,walking,27.60500008300781,27.86500005249023,0.04,0.44,0.4,,
32,32,toward,27.86500005249023,28.03500002563476,0.0,0.2,0.2,,
33,33,the,28.03500002563476,28.094999963378903,0.76,0.74,-0.02,,
34,34,campus,28.094999963378903,28.435000089111323,0.08,0.22,0.14,,
35,35,center,28.435000089111323,28.795000074462887,0.04,0.26,0.22,,
36,36,and,28.97500006713867,29.1450000402832,0.46,0.68,0.22,,
37,37,out,29.1450000402832,29.31500001342773,0.0,0.08,0.08,,
38,38,comes,29.31500001342773,29.585000002441404,0.04,0.28,0.24,,
39,39,the,29.585000002441404,29.70500005737304,0.32,0.46,0.14,,
40,40,elusive,29.70500005737304,30.41500000854492,0.0,0.12,0.12,,
41,41,dean,30.64499991943359,30.98500004516601,0.06,0.66,0.6000000000000001,,
42,42,mcgowan,30.98500004516601,31.625000039062492,0.0,0.3,0.3,,
43,43,architect,32.32499997070312,32.82500005004883,0.0,0.1,0.1,,
44,44,of,32.82500005004883,32.91500004638672,0.5,0.58,0.0799999999999999,,
45,45,a,32.91500004638672,32.95499994506835,0.04,0.16,0.12,,
46,46,policy,32.95499994506835,33.75500007202148,0.0,0.18,0.18,,
47,47,to,34.07499997924805,34.21500007324218,0.02,0.28,0.26,,
48,48,replace,34.21500007324218,34.69499993408203,0.0,0.16,0.16,,
49,49,fordham,34.69499993408203,35.21500005249023,0.0,0.14,0.14,,
50,50,traditionally,35.21500005249023,36.08499995727539,0.0,0.14,0.14,,
51,51,working,36.4549999621582,37.0450000378418,0.0,0.26,0.26,,
52,52,to,37.0450000378418,37.14500005371093,0.0,0.1,0.1,,
53,53,middle,37.14500005371093,37.3749999645996,0.02,0.32,0.3,,
54,54,class,37.3749999645996,37.68500003173828,0.46,0.68,0.22,,
55,55,students,37.68500003173828,38.28499994750976,0.24,0.56,0.32,,
56,56,with,38.775000007324216,39.23500000854492,0.18,0.52,0.34,,
57,57,wealthier,39.23500000854492,39.8349999243164,0.0,0.14,0.14,,
58,58,more,39.8349999243164,40.03499995605468,0.0,0.22,0.22,,
59,59,prestigious,40.03499995605468,40.65499991088867,0.0,0.24,0.24,,
60,60,ones,40.65499991088867,41.24499998657227,0.04,0.26,0.22,1.0,0.3170731707317073
61,61,so,42.21500008666992,42.38500005981445,0.0,0.14,0.14,,
62,62,i,42.38500005981445,42.44499999755859,0.24,0.52,0.28,,
63,63,whip,42.44499999755859,42.65500004882812,0.0,0.04,0.04,,
64,64,out,42.65500004882812,42.75500006469726,0.54,0.74,0.1999999999999999,,
65,65,my,42.75500006469726,42.86499992065429,0.7,0.82,0.12,,
66,66,notebook,42.86499992065429,43.20500004638672,0.2,0.48,0.2799999999999999,,
67,67,and,43.20500004638672,43.29500004272461,0.82,0.92,0.1,,
68,68,i,43.29500004272461,43.334999941406245,0.1,0.28,0.18,,
69,69,go,43.3850000390625,43.54499999267578,0.04,0.16,0.12,,
70,70,up,43.49500007446289,43.594999910888674,0.16,0.4,0.24,,
71,71,to,43.594999910888674,43.73500000488281,0.68,0.82,0.1399999999999999,,
72,72,him,43.73500000488281,43.8450000402832,0.38,0.48,0.0999999999999999,,
73,73,and,43.8450000402832,43.93500003662109,0.82,0.88,0.06,,
74,74,i,43.93500003662109,43.96499991577148,0.08,0.34,0.26,,
75,75,say,43.96499991577148,44.18499998657226,0.06,0.28,0.22,,
